EQUIPO,J,G,E,P,GF,GC,DIF,PTS,POS,CREATED_AT
1BMUBayern Munich,27,20,5,2,78,26,52,65,1,2025-04-03 19:35:08
2LEVBayer Leverkusen,27,17,8,2,62,34,28,59,2,2025-04-03 19:35:08
3FRAEintracht Frankfurt,27,14,6,7,55,40,15,48,3,2025-04-03 19:35:08
4M05Mainz,27,13,6,8,45,31,14,45,4,2025-04-03 19:35:08
5MGBBorussia Monchengladbach,27,13,4,10,44,40,4,43,5,2025-04-03 19:35:08
6RBLRB Leipzig,27,11,9,7,41,34,7,42,6,2025-04-03 19:35:08
7SCFSC Freiburg,27,12,6,9,37,40,-3,42,7,2025-04-03 19:35:08
8AUGF. C. Augsburgo,27,10,9,8,30,36,-6,39,8,2025-04-03 19:35:08
10DORBorussia Dortmund,27,11,5,11,48,42,6,38,9,2025-04-03 19:35:08
9WLFVfL Wolfsburg,27,10,8,9,49,41,8,38,10,2025-04-03 19:35:08
11VFBVfB Stuttgart,27,10,7,10,47,44,3,37,11,2025-04-03 19:35:08
12BREWerder Bremen,27,10,6,11,43,53,-10,36,12,2025-04-03 19:35:08
13FCU1. FC Union Berlin,27,8,6,13,25,40,-15,30,13,2025-04-03 19:35:08
14TSGTSG Hoffenheim,27,6,9,12,33,49,-16,27,14,2025-04-03 19:35:08
15STPSt Pauli,27,7,4,16,22,33,-11,25,15,2025-04-03 19:35:08
16HDH1. FC Heidenheim 1846,27,6,4,17,32,52,-20,22,16,2025-04-03 19:35:08
17BOCVfL Bochum,27,5,5,17,28,55,-27,20,17,2025-04-03 19:35:08
18KSVHolstein Kiel,27,4,5,18,38,67,-29,17,18,2025-04-03 19:35:08
