EQUIPO,J,G,E,P,GF,GC,DIF,PTS,POS,CREATED_AT
1AJAXAjax Amsterdam,27,21,4,2,57,20,37,67,1,2025-04-03 19:35:08
2PSVPSV Eindhoven,27,18,4,5,78,32,46,58,2,2025-04-03 19:35:08
3FEYFeyenoord Rotterdam,27,15,8,4,61,32,29,53,3,2025-04-03 19:35:08
4UTRFC Utrecht,27,15,7,5,48,39,9,52,4,2025-04-03 19:35:08
5AZAZ Alkmaar,27,13,7,7,47,31,16,46,5,2025-04-03 19:35:08
6TWEFC Twente,27,13,7,7,53,39,14,46,6,2025-04-03 19:35:08
7Go AheadGo Ahead Eagles,27,13,5,9,49,43,6,44,7,2025-04-03 19:35:08
8GROFC Groningen,27,8,8,11,26,38,-12,32,8,2025-04-03 19:35:08
9FortunaFortuna Sittard,27,9,5,13,32,46,-14,32,9,2025-04-03 19:35:08
11HEEHeerenveen,27,8,7,12,32,48,-16,31,10,2025-04-03 19:35:08
10HERHeracles Almelo,27,7,10,10,35,48,-13,31,11,2025-04-03 19:35:08
12NECNEC Nijmegen,27,8,6,13,40,40,0,30,12,2025-04-03 19:35:08
13BRDNAC Breda,27,8,6,13,29,45,-16,30,13,2025-04-03 19:35:08
14PECPEC Zwolle,27,7,8,12,32,41,-9,29,14,2025-04-03 19:35:08
15Sp RotterdamSparta Rotterdam,27,6,10,11,28,35,-7,28,15,2025-04-03 19:35:08
16WILWillem II,27,6,6,15,28,44,-16,24,16,2025-04-03 19:35:08
17WLWRKC Waalwijk,27,4,6,17,34,56,-22,18,17,2025-04-03 19:35:08
18Almere CityAlmere City,27,4,6,17,18,50,-32,18,18,2025-04-03 19:35:08
