EQUIPO,J,G,E,P,GF,GC,DIF,PTS,POS,CREATED_AT
1LIVLiverpool,30,22,7,1,70,27,43,73,1,2025-04-02 20:05:21
2ARSArsenal,30,17,10,3,55,25,30,61,2,2025-04-02 20:05:21
3FORNottingham Forest,30,17,6,7,50,35,15,57,3,2025-04-02 20:05:21
4MCIManchester City,30,15,6,9,57,40,17,51,4,2025-04-02 20:05:21
5NEWNewcastle United,29,15,5,9,49,39,10,50,5,2025-04-02 20:05:21
6CHEChelsea,29,14,7,8,53,37,16,49,6,2025-04-02 20:05:21
7AVLAston Villa,30,13,9,8,44,45,-1,48,7,2025-04-02 20:05:21
8BHABrighton & Hove Albion,30,12,11,7,48,45,3,47,8,2025-04-02 20:05:21
9FULFulham,30,12,9,9,44,40,4,45,9,2025-04-02 20:05:21
10BOUAFC Bournemouth,30,12,8,10,49,38,11,44,10,2025-04-02 20:05:21
11BRNBrentford,30,12,5,13,51,47,4,41,11,2025-04-02 20:05:21
12CRYCrystal Palace,29,10,10,9,37,34,3,40,12,2025-04-02 20:05:21
13MUNManchester United,30,10,7,13,37,41,-4,37,13,2025-04-02 20:05:21
14TOTTottenham Hotspur,29,10,4,15,55,43,12,34,14,2025-04-02 20:05:21
15EVEEverton,30,7,13,10,32,37,-5,34,15,2025-04-02 20:05:21
16WHUWest Ham United,30,9,7,14,33,50,-17,34,16,2025-04-02 20:05:21
17WOLWolverhampton Wanderers,30,8,5,17,41,58,-17,29,17,2025-04-02 20:05:21
18IPSIpswich Town,30,4,8,18,30,63,-33,20,18,2025-04-02 20:05:21
19LEILeicester City,30,4,5,21,25,67,-42,17,19,2025-04-02 20:05:21
20SOUSouthampton,30,2,4,24,22,71,-49,10,20,2025-04-02 20:05:21
