EQUIPO,J,G,E,P,GF,GC,DIF,PTS,POS,CREATED_AT
1SCPSporting CP,27,20,5,2,73,23,50,65,1,2025-04-03 19:35:08
2BENBenfica,27,21,2,4,65,22,43,65,2,2025-04-03 19:35:08
3PORFC Porto,27,17,5,5,53,21,32,56,3,2025-04-03 19:35:08
4BRAGBraga,27,17,5,5,44,23,21,56,4,2025-04-03 19:35:08
5SCLSanta Clara,27,14,4,9,28,25,3,46,5,2025-04-03 19:35:08
6GUIGuimaraes,27,10,12,5,38,29,9,42,6,2025-04-03 19:35:08
7CASCasa Pia,27,11,6,10,34,36,-2,39,7,2025-04-03 19:35:08
8FAMFC Famalicao,27,9,10,8,33,30,3,37,8,2025-04-03 19:35:08
9ESTEstoril,27,9,9,9,35,43,-8,36,9,2025-04-03 19:35:08
10MORMoreirense,27,8,8,11,33,39,-6,32,10,2025-04-03 19:35:08
11RIORio Ave,27,7,8,12,30,45,-15,29,11,2025-04-03 19:35:08
12AROArouca,27,7,8,12,26,41,-15,29,12,2025-04-03 19:35:08
13CDNC.D. Nacional,27,8,5,14,26,37,-11,29,13,2025-04-03 19:35:08
14GVFCGil Vicente,27,6,8,13,27,41,-14,26,14,2025-04-03 19:35:08
15ESTEstrela,27,5,8,14,21,41,-20,23,15,2025-04-03 19:35:08
16AVSAVS,27,4,11,12,21,41,-20,23,16,2025-04-03 19:35:08
17SCFSC Farense,27,3,8,16,19,40,-21,17,17,2025-04-03 19:35:08
18BOABoavista,27,3,6,18,17,46,-29,15,18,2025-04-03 19:35:08
